,m_S,kappa,lambda_S,C,Delta,gamma,Psi,alpha_s,Pi_S,kinetic_VEV
m_S,1.0,0.0063237160624163465,0.0019589220996533057,0.003265875645567167,0.004594095392448356,-0.0014027761814077544,0.0010412911456118812,0.006323716062407594,-0.6903356959053761,0.002688945599944926
kappa,0.0063237160624163465,1.0,-0.0038233402451780833,-0.003949015542094932,-0.002283359834216083,-0.002189162364021621,-0.0001750308257009928,0.9999999999999981,-0.006027514863347878,0.0016628210506293606
lambda_S,0.0019589220996533057,-0.0038233402451780833,1.0,-0.006409538333155678,-0.0020884448765002687,0.0011645106457430859,-0.002085089993827626,-0.0038233402451783435,-0.0028481252517867438,-0.0015014210641693126
C,0.003265875645567167,-0.003949015542094932,-0.006409538333155678,1.0,-0.0039929710580591405,-0.0024967047568856485,-0.002487617139465023,-0.00394901554210508,-0.0051429159374168825,0.0023664769406338683
Delta,0.004594095392448356,-0.002283359834216083,-0.0020884448765002687,-0.0039929710580591405,1.0,0.0034314180952496904,0.00047666883339614666,-0.0022833598342082693,0.7202844204609845,0.13004323295227155
gamma,-0.0014027761814077544,-0.002189162364021621,0.0011645106457430859,-0.0024967047568856485,0.0034314180952496904,1.0,-0.004687176166348443,-0.002189162364016814,0.0034450895109396007,-0.9821305460176138
Psi,0.0010412911456118812,-0.0001750308257009928,-0.002085089993827626,-0.002487617139465023,0.00047666883339614666,-0.004687176166348443,1.0,-0.000175030825698481,-0.00037041874695146337,0.004503376455280375
alpha_s,0.006323716062407594,0.9999999999999981,-0.0038233402451783435,-0.00394901554210508,-0.0022833598342082693,-0.002189162364016814,-0.000175030825698481,1.0,-0.006027514863336217,0.0016628210506244771
Pi_S,-0.6903356959053761,-0.006027514863347878,-0.0028481252517867438,-0.0051429159374168825,0.7202844204609845,0.0034450895109396007,-0.00037041874695146337,-0.006027514863336217,1.0,0.09222962419900424
kinetic_VEV,0.002688945599944926,0.0016628210506293606,-0.0015014210641693126,0.0023664769406338683,0.13004323295227155,-0.9821305460176138,0.004503376455280375,0.0016628210506244771,0.09222962419900424,1.0
