,count,mean,std,min,2.5%,50%,97.5%,max
m_S,80000.0,1.5608122018738562,0.07131427746489945,1.389342091539297,1.420969998528755,1.558375401319093,1.6950569269002305,1.7508945758202472
kappa,80000.0,0.6458036457865034,0.05025152202955788,0.5310664304585486,0.5572303419029861,0.6441147400970807,0.7332822168422762,0.7502862504603046
lambda_S,80000.0,0.6993297839696497,0.1083517263154424,0.471155504048481,0.517254500161744,0.6915939322066694,0.8958927168388046,0.9374842832326425
C,80000.0,0.2770109675382715,0.014068470684119138,0.2059293427191866,0.2494480913389836,0.27700195563302055,0.3043704771178859,0.33468632162184975
alpha_s,80000.0,0.5145803645786503,0.005025152202955721,0.5031066430458548,0.5057230341902986,0.5144114740097081,0.5233282216842277,0.5250286250460304
Pi_S,80000.0,0.45363760150735705,0.07404447171467225,0.2650285949315463,0.32866104624124093,0.4469005418546771,0.5942099820022128,0.695469605709337
Delta,80000.0,1.7002675495731576,0.06283552217265555,1.5322831793549079,1.5792971478319693,1.7023536499471974,1.8164934380123043,1.8763516474056736
kinetic_VEV,80000.0,0.10711187278966176,0.023975680909363063,0.04601830130187781,0.06717345573591646,0.1055474598685266,0.1535859685211646,0.20367814204718182
gamma,80000.0,5.304205217328847,0.7058175771574433,3.6203922138284357,4.183478723694111,5.1806532415467075,6.781150469817534,8.51105857825425
Psi,80000.0,137.95266279398072,37.32023596081872,63.15068126943298,84.32219922251167,129.31111146892425,221.55092016355337,349.0068531140858
